project_id|sector|ward|project_name|approval_status|reason_not_approved|year|source_document|source_url
CDF2025-001|Education|Kasamba|Construction of a 1X4 CRB at Kasamba Secondary School with laborotory;purch ase of 200 desks,one staff house and solar powered borehole|Not Approved|Inadequate Funding|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-002|Health|Kasamba|Construction of 1 staff house and completion of 1 staff house at Kasamba Rural Health Center|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-003|Education|Kasamba|Construction of 1 staff house; purchase of 80 desks and solar powered borehole at Mikumbi primary School|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-004|Education|Kasamba|Construction of a Community School at Fikola area.|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-005|Education|Kasamba|Construction of 1 staff house and purchase of 80 desks at Minkoyo Primary School|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-006|Health|Kasamba|Construction of a health post at Bwandaila in Milonfi|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-007|Education/Health|Kasamba|Construction of 1x3 CRB; cnstruction of health post and purchase of solar powered borehole in Milonfi|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-008|Health|Kasamba|Construction of staff house, ablution block, water reticulation system and medical tools at Mikumbi health post|Approved||2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-009|Education|Kanyenda|Construction of 1x3 CRB at Michinka Community School|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-010|Education|Kanyenda|Completion of 1x3 CRB and 1 staff house at Buyantanshi School|Approved||2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-011|Education|Kanyenda|Construction of 1 staff house at Nkulumashiba School|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-012|Education|Kanyenda|Construction of 1x3 CRB at Chibuli Primary School|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-013|Health|Kanyenda|Completion of 1 staff house at Kanyenda Clinic|Approved||2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-014|Education|Ntanda|Construction of 1x3 CRB and 2 staff houses at Makombo in Muchindushi|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-015|Education|Ntanda|Construction of 1x3 CRB at Swaya Community School|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-016|Education|Ntanda|Construction of 1x3 CRB and 2 staff houses in Twikatane|Approved||2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-017|Education|Ntanda|Construction of 1x3 CRB and 2 staff houses in Chibangu|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-018|Education|Ntanda|Construction of 2 staff houses at Lukanga north B school in Lukanga North|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-019|Education|Ntanda|Construction of 3 staff houses and 3 toilets at Ntanda primary School|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-020|Education|Kashiba|Construction of 1x3 CRB at Ikula Community School|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-021|Education|Kashiba|Construction of 1x3 CRB at Water Affairs Community School|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-022|Education|Kashiba|Construction of 1 staff house at Chinampanga Community School|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-023|Health|Kashiba|Construction of 1 staff house at Mfulabunga Clinic|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-024|Education|Luswishi|Construction of 1x3 CRB and 2 staff houses at Luswishi Primary School|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-025||Luswishi|Construction of Luswishi Market in the ward|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
