financial_record_id|year|document_type|category|budgeted_amount|actual_amount|variance|revenue_or_expenditure|currency|source_document|source_url
MPONGWE-FIN-2022-001|2022|audited_financial_statement_budget_actual|Local taxes|286725|252035|-34690|revenue|Kwacha|mpongwe_financial_statements_2022.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2024/02/Mpongwe-TC-2022-FS.pdf
MPONGWE-FIN-2022-002|2022|audited_financial_statement_budget_actual|Fees and Charges|7644253|3576546|-4067707|revenue|Kwacha|mpongwe_financial_statements_2022.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2024/02/Mpongwe-TC-2022-FS.pdf
MPONGWE-FIN-2022-003|2022|audited_financial_statement_budget_actual|Licences|175800|40560|-135240|revenue|Kwacha|mpongwe_financial_statements_2022.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2024/02/Mpongwe-TC-2022-FS.pdf
MPONGWE-FIN-2022-004|2022|audited_financial_statement_budget_actual|Levies|3534276|925541|-2608735|revenue|Kwacha|mpongwe_financial_statements_2022.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2024/02/Mpongwe-TC-2022-FS.pdf
MPONGWE-FIN-2022-005|2022|audited_financial_statement_budget_actual|Permits|405100|282068|-123032|revenue|Kwacha|mpongwe_financial_statements_2022.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2024/02/Mpongwe-TC-2022-FS.pdf
MPONGWE-FIN-2022-006|2022|audited_financial_statement_budget_actual|Local Government Equalisation Fund|8736639|9689697|953058|revenue|Kwacha|mpongwe_financial_statements_2022.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2024/02/Mpongwe-TC-2022-FS.pdf
MPONGWE-FIN-2022-007|2022|audited_financial_statement_budget_actual|Constituency Development Fund|25700000|23739911|-1960089|revenue|Kwacha|mpongwe_financial_statements_2022.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2024/02/Mpongwe-TC-2022-FS.pdf
MPONGWE-FIN-2022-008|2022|audited_financial_statement_budget_actual|Other Grants|300000|465000|165000|revenue|Kwacha|mpongwe_financial_statements_2022.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2024/02/Mpongwe-TC-2022-FS.pdf
MPONGWE-FIN-2022-009|2022|audited_financial_statement_budget_actual|Borrowings||||revenue|Kwacha|mpongwe_financial_statements_2022.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2024/02/Mpongwe-TC-2022-FS.pdf
MPONGWE-FIN-2022-010|2022|audited_financial_statement_budget_actual|Commercial Venture||||revenue|Kwacha|mpongwe_financial_statements_2022.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2024/02/Mpongwe-TC-2022-FS.pdf
MPONGWE-FIN-2022-011|2022|audited_financial_statement_budget_actual|Other Receipts|500000|266178|-233822|revenue|Kwacha|mpongwe_financial_statements_2022.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2024/02/Mpongwe-TC-2022-FS.pdf
MPONGWE-FIN-2022-012|2022|audited_financial_statement_budget_actual|Personal Emoluments|10011372|8925479|1085893|expenditure|Kwacha|mpongwe_financial_statements_2022.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2024/02/Mpongwe-TC-2022-FS.pdf
MPONGWE-FIN-2022-013|2022|audited_financial_statement_budget_actual|Use of goods and services|7217790|5070257|2147533|expenditure|Kwacha|mpongwe_financial_statements_2022.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2024/02/Mpongwe-TC-2022-FS.pdf
MPONGWE-FIN-2022-014|2022|audited_financial_statement_budget_actual|Financial Charges||||expenditure|Kwacha|mpongwe_financial_statements_2022.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2024/02/Mpongwe-TC-2022-FS.pdf
MPONGWE-FIN-2022-015|2022|audited_financial_statement_budget_actual|Social benefits|3139376|3139376||expenditure|Kwacha|mpongwe_financial_statements_2022.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2024/02/Mpongwe-TC-2022-FS.pdf
MPONGWE-FIN-2022-016|2022|audited_financial_statement_budget_actual|Non-financial assets acquisition|16928607|732484|16196123|expenditure|Kwacha|mpongwe_financial_statements_2022.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2024/02/Mpongwe-TC-2022-FS.pdf
MPONGWE-FIN-2022-017|2022|audited_financial_statement_budget_actual|Financial Assets||||expenditure|Kwacha|mpongwe_financial_statements_2022.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2024/02/Mpongwe-TC-2022-FS.pdf
MPONGWE-FIN-2022-018|2022|audited_financial_statement_budget_actual|Loan Repayments||||expenditure|Kwacha|mpongwe_financial_statements_2022.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2024/02/Mpongwe-TC-2022-FS.pdf
MPONGWE-FIN-2022-019|2022|audited_financial_statement_budget_actual|Other payments|9985648|1665452|8320196|expenditure|Kwacha|mpongwe_financial_statements_2022.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2024/02/Mpongwe-TC-2022-FS.pdf
MPONGWE-FIN-2024-020|2024|audited_financial_statement_budget_actual|Local Taxes|843668|319792|-523876|revenue|Kwacha|mpongwe_financial_statements_2024.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/FINANCIAL-REPORT-2025.pdf
MPONGWE-FIN-2024-021|2024|audited_financial_statement_budget_actual|Fees and Charges|1885278|6594238|4708960|revenue|Kwacha|mpongwe_financial_statements_2024.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/FINANCIAL-REPORT-2025.pdf
MPONGWE-FIN-2024-022|2024|audited_financial_statement_budget_actual|Licences|39138|59991|20853|revenue|Kwacha|mpongwe_financial_statements_2024.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/FINANCIAL-REPORT-2025.pdf
MPONGWE-FIN-2024-023|2024|audited_financial_statement_budget_actual|Levies|3192814|3735670|542856|revenue|Kwacha|mpongwe_financial_statements_2024.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/FINANCIAL-REPORT-2025.pdf
MPONGWE-FIN-2024-024|2024|audited_financial_statement_budget_actual|Permits|344429|322821|-21608|revenue|Kwacha|mpongwe_financial_statements_2024.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/FINANCIAL-REPORT-2025.pdf
MPONGWE-FIN-2024-025|2024|audited_financial_statement_budget_actual|Local Government Equalisation Fund|10523340|10321794|-201546|revenue|Kwacha|mpongwe_financial_statements_2024.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/FINANCIAL-REPORT-2025.pdf
