procurement_id|year|procurement_class|unspsc|description|reference_number|unit_of_measure|quantity|source_of_funds|procurement_method|publication_date|award_date|start_date|estimated_budget_zmw|comments|source_document|source_url
APP2023-011|2023|goods|22101500|||Each|1.0|CDF|obn|2023-06-09|2023-07-17|2023-08-23|||mpongwe_procurement_plan_2023.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2023/11/APP-MPONGWE-TOWN-COUNCIL-1.pdf
APP2023-012|2023|goods|25101601|||Each|1.0|CDF|obn|2023-06-09|2023-07-17|2023-08-25|||mpongwe_procurement_plan_2023.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2023/11/APP-MPONGWE-TOWN-COUNCIL-1.pdf
APP2023-013|2023|goods|25111505|||Each|1.0|CDF|obn|2023-06-09|2023-07-17|2023-08-24|||mpongwe_procurement_plan_2023.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2023/11/APP-MPONGWE-TOWN-COUNCIL-1.pdf
APP2023-014|2023|goods|22101511|||Each|1.0|CDF|obn|2023-06-09|2023-07-17|2023-08-23|||mpongwe_procurement_plan_2023.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2023/11/APP-MPONGWE-TOWN-COUNCIL-1.pdf
APP2023-015|2023|works|30120000|||sV aMrpioounsgwe ward||CDF|sb|2023-06-08|2023-07-05|2023-07-11|||mpongwe_procurement_plan_2023.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2023/11/APP-MPONGWE-TOWN-COUNCIL-1.pdf
APP2023-016|2023|works|72130000|||eEmac aht Kaloko school-||CDF|obn|2023-06-09|2023-07-17|2023-08-29|||mpongwe_procurement_plan_2023.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2023/11/APP-MPONGWE-TOWN-COUNCIL-1.pdf
APP2023-017|2023|works|72130000|||oEna acth Muyambe-Kalw||CDF|obn|2023-06-09|2023-07-17|2023-08-28|||mpongwe_procurement_plan_2023.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2023/11/APP-MPONGWE-TOWN-COUNCIL-1.pdf
APP2023-018|2023|works|72130000|||Each|1.0|CDF|sb|2023-06-08|2023-06-23|2023-06-26|||mpongwe_procurement_plan_2023.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2023/11/APP-MPONGWE-TOWN-COUNCIL-1.pdf
APP2023-019|2023|works|72130000|||mE a acth mikata market-||CDF|sb|2023-06-08|2023-06-23|2023-06-26|||mpongwe_procurement_plan_2023.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2023/11/APP-MPONGWE-TOWN-COUNCIL-1.pdf
APP2023-020|2023|works|72130000|||Each|1.0|CDF|sb|2023-06-08|2023-06-23|2023-06-26|||mpongwe_procurement_plan_2023.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2023/11/APP-MPONGWE-TOWN-COUNCIL-1.pdf
APP2023-021|2023|goods|44121600|||Each|315.0|CDF|sb|2023-06-08|2023-06-23|2023-06-26|||mpongwe_procurement_plan_2023.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2023/11/APP-MPONGWE-TOWN-COUNCIL-1.pdf
APP2023-022|2023|goods|20122836|||Each|7.0|CDF|sb|2023-06-08|2023-06-23|2023-06-26|||mpongwe_procurement_plan_2023.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2023/11/APP-MPONGWE-TOWN-COUNCIL-1.pdf
APP2023-023|2023|goods|53101800|||Each|20.0|CDF|sb|2023-06-08|2023-06-23|2023-06-26|||mpongwe_procurement_plan_2023.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2023/11/APP-MPONGWE-TOWN-COUNCIL-1.pdf
APP2023-024|2023|goods|15000000||MTC/SFL/LR/23|Various||uLgohc oaul rt ethveen fuineancial year|sb|2023-01-02||2023-12-20||procured thro|mpongwe_procurement_plan_2023.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2023/11/APP-MPONGWE-TOWN-COUNCIL-1.pdf
APP2023-025|2023|goods|44120000||MTC/SOS/LR/23|Various||tLeorlcyal revenue|sb|2023-02-02||2023-12-20||procured quar|mpongwe_procurement_plan_2023.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2023/11/APP-MPONGWE-TOWN-COUNCIL-1.pdf
APP2023-026|2023|non consulting services|83121703||MTC/SIC/LR/23|Various||uLgohc oaul rt ethveen fuineancial year|sb|2023-01-02||2023-12-20||procured thro|mpongwe_procurement_plan_2023.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2023/11/APP-MPONGWE-TOWN-COUNCIL-1.pdf
APP2023-027|2023|goods|44000000||MTC/SOE/LR/23|||tLeorlcyal revenue|sb|2023-01-02||2023-12-20||procured quar|mpongwe_procurement_plan_2023.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2023/11/APP-MPONGWE-TOWN-COUNCIL-1.pdf
APP2023-028|2023|goods|81112002|||Various||tLeorlcyal revenue|sb|2023-01-02||2023-12-20||procured quar|mpongwe_procurement_plan_2023.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2023/11/APP-MPONGWE-TOWN-COUNCIL-1.pdf
APP2023-029|2023|non consulting services|60104904||MTC/EC/LR/23|Various||uLgohc oaul rt ethveen fuineancial year|sb|2023-01-02||2023-12-30||procured thro|mpongwe_procurement_plan_2023.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2023/11/APP-MPONGWE-TOWN-COUNCIL-1.pdf
APP2023-030|2023|works|30130000|||Various||uLgohc oaul rt ethveen fuineancial year|sb|2023-01-02||2023-12-20||procured thro|mpongwe_procurement_plan_2023.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2023/11/APP-MPONGWE-TOWN-COUNCIL-1.pdf
APP2023-031|2023|non consulting services|78180100|||Various||uLgohc oaul rt ethveen fuineancial year|sb|2023-01-02||2023-12-20||procured thro|mpongwe_procurement_plan_2023.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2023/11/APP-MPONGWE-TOWN-COUNCIL-1.pdf
APP2023-032|2023|goods|78180100||MTC/SSP/LR/23|Various||uLgohc oaul rt ethveen fuineancial year|sb|2023-01-02||2023-12-20||procured thro|mpongwe_procurement_plan_2023.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2023/11/APP-MPONGWE-TOWN-COUNCIL-1.pdf
APP2023-033|2023|goods|48000000||MTC/ST/LR/23|Various||tLeorlcyal revenue|sb|2023-01-02||2023-12-20||procured quar|mpongwe_procurement_plan_2023.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2023/11/APP-MPONGWE-TOWN-COUNCIL-1.pdf
APP2023-034|2023|non consulting services|84000000|||Various||Local revenue|sb|2023-01-02||2023-01-19|||mpongwe_procurement_plan_2023.pdf|https://www.mpongwecouncil.gov.zm/wp-content/uploads/2023/11/APP-MPONGWE-TOWN-COUNCIL-1.pdf
